Apellidos,Total
LIZANO,1433
LLAGUNO,1238
LLAMBO,1242
LLAMUCA,3727
LLANGA,1033
LLANGARI,2226
LLANO,2905
LLANOS,5447
LLERENA,10058
LLIGUICOTA,1555
LLIGUIN,2156
LLIQUIN,1114
LLIVICURA,1729
LLIVISACA,1727
LLONGO,1019
LLUILEMA,1355
LLULLUNA,1704
LLUMIQUINGA,8038
LLUMITASIG,1885
LLUMITAXI,2172
LOACHAMIN,5312
LOAIZA,7455
LOAYZA,5078
LOGACHO,1601
LOGRO,1584
LOGROÑO,2347
LOJA,21306
LOJAN,1982
LOJANO,6029
LOMAS,2902
LOMBEIDA,2588
LONDOÑO,1078
LOOR,93871
LOPEZ,170052
LOVATO,1505
LOY,1018
LOYA,1339
LOYOLA,2348
LOZA,5631
LOZADA,7894
LOZANO,20884
LUCAS,30159
LUCERO,13683
LUCIN,2105
LUCIO,5563
LUDEÑA,3747
LUGMAÑA,1666
LUGO,2769
LUMBI,1442
LUNA,22051
LUQUE,2320
LUTUALA,1870
LUZARDO,1677
LUZON,1500
LUZURIAGA,5678
MACANCELA,2048
MACAS,21590
MACAY,3461
MACHADO,3943
MACHOA,2213
MACHUCA,3914
MACIAS,115302
MADRID,3413
MAFLA,2571
MAGALLAN,3029
MAGALLANES,7161
MAIGUA,4567
MAILA,2522
MAINATO,1167
MAISANCHE,1057
MAISINCHO,1316
MAITA,1961
MAJI,1834
MALA,2184
MALAGON,1148
MALAN,4014
MALAVE,7327
MALDONADO,46166
MALES,6756
MALIZA,2348
MALLA,7572
MALO,1593
MAMALLACTA,5085
MANCERO,2687
MANCHENO,3606
MANCILLA,2273
MANJARRES,1157
MANOBANDA,10027
MANOSALVAS,3769
MANOTOA,1888
MANRIQUE,3486
MANTILLA,7713
MANTUANO,8009
MANYA,1603
MANZABA,12130
MANZANO,5975
MANZO,2069
MAQUILON,2531
MARCA,3008
MARCALLA,2123
MARCATOMA,3481
MARCHAN,1014
MARCIAL,1219
MARCILLO,21893
MARIDUEÑA,4414
MARIN,16594
MARISCAL,3556
MARIÑO,4584
MARMOL,1715
MARMOLEJO,1533
MARQUEZ,26243
MARQUINEZ,2012
MARTILLO,7939
MARTINEZ,84998
MARURI,2189
MASABANDA,6815
MASACHE,3435
MASAPANTA,2651
MASAQUIZA,5771
MASHIANT,1206
MASHU,1181
MATA,3353
MATAILO,2472
MATAMOROS,6773
MATANGO,1655
MATEO,2593
MATIAS,2323
MATUTE,9497
MAYA,2721
MAYANCELA,3769
MAYANCHA,1335
MAYORGA,12681
MAZA,14087
MAZABANDA,1482
MAZAMBA,1620
MAZON,2026
MAZZINI,1916
MAÑAY,1445
MECIAS,2495
MEDIAVILLA,1985
MEDINA,62233
