ApellidoAsambleista,Total
PILLA,1
NANGO,1
PINCAY,1
NANTIPIA,1
PINOARGOTE,1
LASCANO,1
PIÑAN,1
MAITA,1
MOGRO,1
NAULA,1
MARTILLO,1
LOYOLA,1
PORTILLA,1
QUISPE,1
LUCIN,1
QUIZHPE,1
PUANCHIR,1
NIAMA,1
PUYOL,1
NIETO,1
QUIJANO,1
NOBLECILLA,1
PALADINES,1
LLUMIQUINGA,1
PANCHANA,1
LOAYZA,1
PANCHI,1
NOVILLO,1
MESIAS,1
NUNEZ,1
MEZA,1
MANCERO,1
PASQUEL,1
OBANDO,1
MIELES,1
OCAMPO,1
PASTUÑA,1
OCAÑA,1
MIGUEZ,1
MENESES,1
PAVON,1
OJEDA,1
MINCHALA,1
OLAYA,1
LITARDO,1
OLEAS,1
PERALTA,1
OLIVO,1
PERERO,1
MANOBANDA,1
PERIBONIO,1
LOZADA,1
PICO,1
ONCE,1
MINOTTA,1
MERCEDES,1
PILAPANTA,1
QUINCHUQUI,1
PIN,1
QUINTANILLA,1
LOZANO,1
MERCHAN,1
PINCHAO,1
LEMACHE,1
PINO,1
OREJUELA,1
PINOS,1
MERIGUET,1
PIÑA,1
ORLANDO,1
PIURI,1
ORMAZA,1
MOCHA,1
OROZCO,1
MARTHA,1
MERINO,1
POMA,1
LEMARIE,1
PONGUILLO,1
ORTUÑO,1
PORRAS,1
OSORIO,1
MONAR,1
OSPINA,1
LOJA,1
OSTAIZA,1
PRECIADO,1
MANZANO,1
MARURI,1
MARCILLO,1
PUCHA,1
PACHALA,1
MAYANCELA,1
MARIANITA,1
QUELAL,1
PADRON,1
MASACELA,1
MERLO,1
QUIJIE,1
PALACIO,1
MONTALUISA,1
MARIN,1
ONTANEDA,1
MASAPANTA,1
ORBE,1
MASAQUIZA,1
ORDEÑANA,1
NAVARRETE,1
QUITO,1
NAVAS,1
LITUMA,1
NAVEDA,1
IMBAQUINGO,1
EGAS,1
KUISH,1
ESCALA,1
CHOEZ,1
ESCALANTE,1
